File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ChartTiming4.java,146,54,43,3,25,0,67,345,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CircleDrawer.java,110,41,33,2,11,0,58,300,36,214
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CombinedCategoryPlotDemo1.java,225,119,108,3,35,0,71,303,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CombinedCategoryPlotDemo2.java,224,118,103,3,35,0,71,303,36,212
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CombinedXYPlotDemo1.java,215,112,105,3,30,0,73,316,36,206
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CombinedXYPlotDemo2.java,196,88,81,3,27,1,81,391,39,231
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CombinedXYPlotDemo3.java,152,63,55,1,25,1,64,313,36,206
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CombinedXYPlotDemo4.java,224,119,112,3,31,0,74,320,36,206
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CombinedXYPlotDemo5.java,158,69,61,1,25,1,64,313,36,206
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CompassDemo.java,394,220,161,5,61,0,113,511,38,243
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\CompassDemo2.java,110,34,30,1,17,0,59,282,36,215
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\ContourPlotDemo.java,385,233,185,30,58,6,94,519,36,222
